benchmark,topology,task_id,run,outcome,vote_options,vote_total,entropy_bits,normalized_entropy,max_vote_share,single_option
browsecomp,fully_linked_debate,769,run_0,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,769,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,769,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,770,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,770,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,770,run_2,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,771,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,771,run_1,fail,2,2,1.0,1.0,0.5,0
browsecomp,fully_linked_debate,771,run_2,fail,2,4,0.8112781244591328,0.8112781244591328,0.75,0
browsecomp,fully_linked_debate,772,run_0,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,772,run_1,fail,3,3,1.584962500721156,0.9999999999999999,0.3333333333333333,0
browsecomp,fully_linked_debate,772,run_2,fail,2,4,0.8112781244591328,0.8112781244591328,0.75,0
browsecomp,fully_linked_debate,773,run_0,fail,2,2,1.0,1.0,0.5,0
browsecomp,fully_linked_debate,773,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,773,run_2,fail,2,4,0.8112781244591328,0.8112781244591328,0.75,0
browsecomp,fully_linked_debate,774,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,774,run_1,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,774,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,775,run_0,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,775,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,775,run_2,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,776,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,776,run_1,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,776,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,778,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,778,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,778,run_2,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,781,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,781,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,781,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,783,run_1,fail,2,4,0.8112781244591328,0.8112781244591328,0.75,0
browsecomp,fully_linked_debate,783,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,784,run_0,fail,4,4,2.0,1.0,0.25,0
browsecomp,fully_linked_debate,784,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,784,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,785,run_0,success,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,785,run_1,success,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,785,run_2,success,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,786,run_0,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,786,run_1,fail,2,2,1.0,1.0,0.5,0
browsecomp,fully_linked_debate,786,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,787,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,787,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,787,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,788,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,788,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,788,run_2,fail,4,4,2.0,1.0,0.25,0
browsecomp,fully_linked_debate,790,run_0,fail,2,4,0.8112781244591328,0.8112781244591328,0.75,0
browsecomp,fully_linked_debate,790,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,790,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,791,run_0,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,791,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,791,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,792,run_0,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,792,run_1,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,792,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,793,run_0,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,793,run_1,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,793,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,794,run_0,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,794,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,794,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,796,run_0,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,796,run_1,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,796,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,797,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,797,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,797,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,798,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,798,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,798,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,800,run_0,fail,1,4,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,800,run_1,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,800,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,801,run_0,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,801,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,801,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,802,run_0,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,802,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,802,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,804,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,804,run_1,fail,2,2,1.0,1.0,0.5,0
browsecomp,fully_linked_debate,804,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,805,run_0,fail,1,1,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,805,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,805,run_2,fail,2,3,0.9182958340544896,0.9182958340544896,0.6666666666666666,0
browsecomp,fully_linked_debate,806,run_0,fail,2,2,1.0,1.0,0.5,0
browsecomp,fully_linked_debate,806,run_1,fail,1,3,-0.0,0.0,1.0,1
browsecomp,fully_linked_debate,806,run_2,fail,1,3,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,769,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,769,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,770,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,770,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,771,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,771,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,771,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,772,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,772,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,772,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,773,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,773,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,773,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,774,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,774,run_2,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,775,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,775,run_1,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,775,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,776,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,776,run_1,fail,2,2,1.0,1.0,0.5,0
browsecomp,group_chat_debate,776,run_2,fail,1,1,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,778,run_0,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,778,run_1,fail,1,2,-0.0,0.0,1.0,1
browsecomp,group_chat_debate,778,run_2,fail,1,2,-0.0,0.0,1.0,1
