benchmark,topology,task_id,run,outcome,tool_results,max_adverse_streak,same_tool_repeats
stabletoolbench,fully_linked_debate,1073,run_0,success,6,0,2
stabletoolbench,fully_linked_debate,1073,run_1,success,5,1,1
stabletoolbench,fully_linked_debate,1073,run_2,success,6,0,1
stabletoolbench,fully_linked_debate,12204,run_0,fail,7,3,2
stabletoolbench,fully_linked_debate,12204,run_1,fail,11,3,7
stabletoolbench,fully_linked_debate,12204,run_2,fail,6,1,1
stabletoolbench,fully_linked_debate,13095,run_0,fail,6,0,1
stabletoolbench,fully_linked_debate,13095,run_1,fail,5,0,2
stabletoolbench,fully_linked_debate,13095,run_2,fail,4,0,2
stabletoolbench,fully_linked_debate,15511,run_0,success,6,1,1
stabletoolbench,fully_linked_debate,15511,run_1,success,7,1,0
stabletoolbench,fully_linked_debate,15511,run_2,success,6,0,2
stabletoolbench,fully_linked_debate,1572,run_0,fail,7,7,2
stabletoolbench,fully_linked_debate,1572,run_1,fail,8,8,3
stabletoolbench,fully_linked_debate,1572,run_2,fail,6,6,2
stabletoolbench,fully_linked_debate,16196,run_0,success,4,0,1
stabletoolbench,fully_linked_debate,16196,run_1,success,4,0,3
stabletoolbench,fully_linked_debate,16196,run_2,success,4,0,3
stabletoolbench,fully_linked_debate,17223,run_0,success,11,3,5
stabletoolbench,fully_linked_debate,17223,run_1,success,12,2,2
stabletoolbench,fully_linked_debate,17223,run_2,fail,9,0,6
stabletoolbench,fully_linked_debate,20704,run_0,success,10,1,2
stabletoolbench,fully_linked_debate,20704,run_1,fail,11,1,4
stabletoolbench,fully_linked_debate,20704,run_2,success,11,1,4
stabletoolbench,fully_linked_debate,21596,run_0,fail,6,4,4
stabletoolbench,fully_linked_debate,21596,run_1,success,4,3,2
stabletoolbench,fully_linked_debate,21596,run_2,fail,6,1,3
stabletoolbench,fully_linked_debate,22781,run_0,success,10,10,7
stabletoolbench,fully_linked_debate,22781,run_1,fail,14,14,7
stabletoolbench,fully_linked_debate,22781,run_2,fail,18,18,14
stabletoolbench,fully_linked_debate,23163,run_0,fail,9,4,3
stabletoolbench,fully_linked_debate,23163,run_1,fail,12,3,4
stabletoolbench,fully_linked_debate,23163,run_2,fail,6,3,3
stabletoolbench,fully_linked_debate,23248,run_0,fail,3,1,0
stabletoolbench,fully_linked_debate,23248,run_1,fail,6,1,1
stabletoolbench,fully_linked_debate,23248,run_2,fail,3,1,1
stabletoolbench,fully_linked_debate,24810,run_0,fail,12,2,1
stabletoolbench,fully_linked_debate,24810,run_1,fail,12,4,5
stabletoolbench,fully_linked_debate,24810,run_2,fail,16,2,4
stabletoolbench,fully_linked_debate,25052,run_0,fail,5,1,4
stabletoolbench,fully_linked_debate,25052,run_1,fail,7,2,6
stabletoolbench,fully_linked_debate,25052,run_2,fail,8,3,7
stabletoolbench,fully_linked_debate,26063,run_0,fail,6,0,4
stabletoolbench,fully_linked_debate,26063,run_1,fail,4,0,2
stabletoolbench,fully_linked_debate,26063,run_2,fail,5,1,0
stabletoolbench,fully_linked_debate,26752,run_0,fail,3,1,0
stabletoolbench,fully_linked_debate,26752,run_1,success,3,0,0
stabletoolbench,fully_linked_debate,26752,run_2,fail,6,0,1
stabletoolbench,fully_linked_debate,26892,run_0,fail,6,0,2
stabletoolbench,fully_linked_debate,26892,run_1,fail,5,0,0
stabletoolbench,fully_linked_debate,26892,run_2,fail,5,0,3
stabletoolbench,fully_linked_debate,31117,run_0,fail,13,13,8
stabletoolbench,fully_linked_debate,31117,run_1,success,10,10,9
stabletoolbench,fully_linked_debate,31117,run_2,success,12,12,9
stabletoolbench,fully_linked_debate,31402,run_0,fail,5,5,2
stabletoolbench,fully_linked_debate,31402,run_1,fail,7,7,2
stabletoolbench,fully_linked_debate,31402,run_2,fail,7,7,3
stabletoolbench,fully_linked_debate,32617,run_0,fail,7,1,3
stabletoolbench,fully_linked_debate,32617,run_1,success,5,0,4
stabletoolbench,fully_linked_debate,32617,run_2,fail,9,0,4
stabletoolbench,fully_linked_debate,32807,run_0,fail,8,8,7
stabletoolbench,fully_linked_debate,32807,run_1,fail,5,5,4
stabletoolbench,fully_linked_debate,32807,run_2,fail,6,6,3
stabletoolbench,fully_linked_debate,3308,run_0,success,4,1,3
stabletoolbench,fully_linked_debate,3308,run_1,success,4,0,3
stabletoolbench,fully_linked_debate,3308,run_2,success,5,0,3
stabletoolbench,fully_linked_debate,33112,run_0,fail,1,0,0
stabletoolbench,fully_linked_debate,33112,run_1,success,4,0,1
stabletoolbench,fully_linked_debate,33112,run_2,fail,7,0,1
stabletoolbench,fully_linked_debate,3510,run_0,fail,6,1,1
stabletoolbench,fully_linked_debate,3510,run_1,fail,7,0,3
stabletoolbench,fully_linked_debate,3510,run_2,fail,8,1,2
stabletoolbench,fully_linked_debate,4505,run_0,fail,3,0,2
stabletoolbench,fully_linked_debate,4505,run_1,success,5,0,1
stabletoolbench,fully_linked_debate,4505,run_2,fail,4,0,3
stabletoolbench,fully_linked_debate,5116,run_0,success,8,1,0
stabletoolbench,fully_linked_debate,5116,run_1,fail,9,2,1
stabletoolbench,fully_linked_debate,5116,run_2,fail,17,2,2
stabletoolbench,fully_linked_debate,7497,run_0,fail,6,6,2
stabletoolbench,fully_linked_debate,7497,run_1,success,5,5,1
stabletoolbench,fully_linked_debate,7497,run_2,success,5,5,3
stabletoolbench,fully_linked_debate,7658,run_0,fail,3,3,1
stabletoolbench,fully_linked_debate,7658,run_1,success,4,4,2
stabletoolbench,fully_linked_debate,7658,run_2,fail,8,8,3
stabletoolbench,fully_linked_debate,8025,run_0,fail,2,2,1
stabletoolbench,fully_linked_debate,8025,run_1,fail,0,0,0
stabletoolbench,fully_linked_debate,8025,run_2,fail,0,0,0
stabletoolbench,fully_linked_debate,9984,run_0,success,2,2,1
stabletoolbench,fully_linked_debate,9984,run_1,fail,1,1,0
stabletoolbench,fully_linked_debate,9984,run_2,success,4,4,3
stabletoolbench,group_chat_debate,1073,run_0,success,9,1,0
stabletoolbench,group_chat_debate,1073,run_1,success,9,0,3
stabletoolbench,group_chat_debate,1073,run_2,success,8,0,3
stabletoolbench,group_chat_debate,12204,run_0,success,15,3,5
stabletoolbench,group_chat_debate,12204,run_1,success,12,3,6
stabletoolbench,group_chat_debate,12204,run_2,fail,11,2,4
stabletoolbench,group_chat_debate,13095,run_0,success,4,0,2
stabletoolbench,group_chat_debate,13095,run_1,success,9,0,5
stabletoolbench,group_chat_debate,13095,run_2,success,8,1,4
stabletoolbench,group_chat_debate,15511,run_0,success,6,1,1
stabletoolbench,group_chat_debate,15511,run_1,success,9,2,0
stabletoolbench,group_chat_debate,15511,run_2,success,11,1,1
stabletoolbench,group_chat_debate,1572,run_0,fail,12,12,5
stabletoolbench,group_chat_debate,1572,run_1,success,10,10,4
stabletoolbench,group_chat_debate,1572,run_2,fail,12,12,9
stabletoolbench,group_chat_debate,16196,run_0,success,6,1,5
stabletoolbench,group_chat_debate,16196,run_1,success,8,3,3
stabletoolbench,group_chat_debate,16196,run_2,success,7,3,3
stabletoolbench,group_chat_debate,17223,run_0,success,20,1,7
stabletoolbench,group_chat_debate,17223,run_1,fail,12,3,6
stabletoolbench,group_chat_debate,17223,run_2,success,15,2,9
stabletoolbench,group_chat_debate,20704,run_0,success,10,0,5
stabletoolbench,group_chat_debate,20704,run_1,success,16,1,4
stabletoolbench,group_chat_debate,20704,run_2,success,22,2,3
stabletoolbench,group_chat_debate,21596,run_0,success,7,5,4
stabletoolbench,group_chat_debate,21596,run_1,success,8,8,6
stabletoolbench,group_chat_debate,21596,run_2,fail,10,4,6
stabletoolbench,group_chat_debate,22781,run_0,success,17,17,12
stabletoolbench,group_chat_debate,22781,run_1,success,12,12,8
stabletoolbench,group_chat_debate,22781,run_2,fail,20,20,13
stabletoolbench,group_chat_debate,23163,run_0,fail,8,5,5
stabletoolbench,group_chat_debate,23163,run_1,fail,8,6,5
stabletoolbench,group_chat_debate,23163,run_2,fail,4,4,3
stabletoolbench,group_chat_debate,23248,run_0,success,6,2,3
stabletoolbench,group_chat_debate,23248,run_1,success,8,0,3
stabletoolbench,group_chat_debate,23248,run_2,fail,7,2,3
stabletoolbench,group_chat_debate,24810,run_0,fail,19,6,9
stabletoolbench,group_chat_debate,24810,run_1,fail,15,2,4
stabletoolbench,group_chat_debate,24810,run_2,fail,24,6,11
stabletoolbench,group_chat_debate,25052,run_0,fail,9,3,7
stabletoolbench,group_chat_debate,25052,run_1,success,13,2,8
stabletoolbench,group_chat_debate,25052,run_2,success,8,2,7
stabletoolbench,group_chat_debate,26063,run_0,success,10,0,4
stabletoolbench,group_chat_debate,26063,run_1,success,11,2,5
stabletoolbench,group_chat_debate,26063,run_2,fail,8,0,3
stabletoolbench,group_chat_debate,26752,run_0,success,5,1,1
stabletoolbench,group_chat_debate,26752,run_1,fail,9,0,3
stabletoolbench,group_chat_debate,26752,run_2,success,7,1,0
stabletoolbench,group_chat_debate,26892,run_0,fail,7,1,3
stabletoolbench,group_chat_debate,26892,run_1,success,3,0,1
stabletoolbench,group_chat_debate,26892,run_2,fail,4,0,2
stabletoolbench,group_chat_debate,31117,run_0,success,8,8,7
stabletoolbench,group_chat_debate,31117,run_1,success,14,14,8
stabletoolbench,group_chat_debate,31117,run_2,fail,13,13,12
stabletoolbench,group_chat_debate,31402,run_0,success,9,7,1
stabletoolbench,group_chat_debate,31402,run_1,success,13,8,5
stabletoolbench,group_chat_debate,31402,run_2,success,16,12,5
stabletoolbench,group_chat_debate,32617,run_0,fail,14,2,9
stabletoolbench,group_chat_debate,32617,run_1,success,6,0,3
stabletoolbench,group_chat_debate,32617,run_2,success,9,1,4
stabletoolbench,group_chat_debate,32807,run_0,fail,14,14,7
stabletoolbench,group_chat_debate,32807,run_1,success,9,9,6
stabletoolbench,group_chat_debate,32807,run_2,fail,8,8,5
stabletoolbench,group_chat_debate,3308,run_0,success,5,0,2
stabletoolbench,group_chat_debate,3308,run_1,success,6,1,4
stabletoolbench,group_chat_debate,3308,run_2,success,4,0,2
stabletoolbench,group_chat_debate,33112,run_0,fail,3,0,1
stabletoolbench,group_chat_debate,33112,run_1,success,7,0,2
stabletoolbench,group_chat_debate,33112,run_2,fail,5,0,1
stabletoolbench,group_chat_debate,3510,run_0,fail,13,0,5
stabletoolbench,group_chat_debate,3510,run_1,fail,15,1,7
stabletoolbench,group_chat_debate,3510,run_2,fail,13,1,6
stabletoolbench,group_chat_debate,4505,run_0,fail,7,1,6
stabletoolbench,group_chat_debate,4505,run_1,fail,9,0,5
stabletoolbench,group_chat_debate,4505,run_2,success,10,0,4
stabletoolbench,group_chat_debate,5116,run_0,fail,24,2,4
stabletoolbench,group_chat_debate,5116,run_1,fail,16,2,6
stabletoolbench,group_chat_debate,5116,run_2,success,18,3,3
stabletoolbench,group_chat_debate,7497,run_0,fail,14,14,3
stabletoolbench,group_chat_debate,7497,run_1,fail,13,13,4
stabletoolbench,group_chat_debate,7497,run_2,success,10,10,4
stabletoolbench,group_chat_debate,7658,run_0,fail,7,7,3
stabletoolbench,group_chat_debate,7658,run_1,success,6,6,3
stabletoolbench,group_chat_debate,7658,run_2,fail,8,8,4
stabletoolbench,group_chat_debate,8025,run_0,fail,1,1,0
stabletoolbench,group_chat_debate,8025,run_1,fail,2,2,1
stabletoolbench,group_chat_debate,8025,run_2,fail,0,0,0
stabletoolbench,group_chat_debate,9984,run_0,success,6,6,5
stabletoolbench,group_chat_debate,9984,run_1,success,4,4,3
stabletoolbench,group_chat_debate,9984,run_2,fail,7,7,6
stabletoolbench,only_voting,1073,run_0,success,5,0,1
stabletoolbench,only_voting,1073,run_1,success,6,0,1
stabletoolbench,only_voting,1073,run_2,success,8,0,1
stabletoolbench,only_voting,12204,run_0,fail,7,2,1
stabletoolbench,only_voting,12204,run_1,fail,11,3,2
stabletoolbench,only_voting,12204,run_2,fail,8,2,2
stabletoolbench,only_voting,13095,run_0,fail,7,0,3
stabletoolbench,only_voting,13095,run_1,fail,9,0,0
stabletoolbench,only_voting,13095,run_2,fail,4,0,3
stabletoolbench,only_voting,15511,run_0,success,5,1,1
stabletoolbench,only_voting,15511,run_1,fail,4,0,3
stabletoolbench,only_voting,15511,run_2,success,5,0,3
stabletoolbench,only_voting,1572,run_0,fail,5,5,0
stabletoolbench,only_voting,1572,run_1,success,5,5,1
stabletoolbench,only_voting,1572,run_2,success,5,5,2
stabletoolbench,only_voting,16196,run_0,success,3,0,2
stabletoolbench,only_voting,16196,run_1,success,3,0,2
stabletoolbench,only_voting,16196,run_2,success,3,0,2
stabletoolbench,only_voting,17223,run_0,success,4,0,3
stabletoolbench,only_voting,17223,run_1,fail,6,0,3
stabletoolbench,only_voting,17223,run_2,success,5,0,2
stabletoolbench,only_voting,20704,run_0,fail,8,0,1
stabletoolbench,only_voting,20704,run_1,success,5,0,2
stabletoolbench,only_voting,20704,run_2,success,6,0,3
stabletoolbench,only_voting,21596,run_0,fail,9,1,1
stabletoolbench,only_voting,21596,run_1,success,4,1,1
stabletoolbench,only_voting,21596,run_2,fail,5,1,2
stabletoolbench,only_voting,22781,run_0,fail,11,11,6
stabletoolbench,only_voting,22781,run_1,fail,17,17,12
stabletoolbench,only_voting,22781,run_2,fail,7,7,6
stabletoolbench,only_voting,23163,run_0,success,4,1,1
stabletoolbench,only_voting,23163,run_1,fail,3,2,1
stabletoolbench,only_voting,23163,run_2,fail,1,0,0
stabletoolbench,only_voting,23248,run_0,fail,3,0,2
stabletoolbench,only_voting,23248,run_1,fail,4,0,3
stabletoolbench,only_voting,23248,run_2,fail,4,1,1
stabletoolbench,only_voting,24810,run_0,fail,15,5,8
stabletoolbench,only_voting,24810,run_1,fail,15,3,3
stabletoolbench,only_voting,24810,run_2,success,13,3,5
stabletoolbench,only_voting,25052,run_0,fail,6,1,5
stabletoolbench,only_voting,25052,run_1,fail,5,1,4
stabletoolbench,only_voting,25052,run_2,success,5,1,4
stabletoolbench,only_voting,26063,run_0,fail,4,0,1
stabletoolbench,only_voting,26063,run_1,success,5,0,3
stabletoolbench,only_voting,26063,run_2,success,6,0,1
stabletoolbench,only_voting,26752,run_0,fail,8,0,0
stabletoolbench,only_voting,26752,run_1,fail,6,0,1
stabletoolbench,only_voting,26752,run_2,fail,5,0,2
stabletoolbench,only_voting,26892,run_0,fail,4,0,3
stabletoolbench,only_voting,26892,run_1,success,5,0,2
stabletoolbench,only_voting,26892,run_2,fail,5,0,1
stabletoolbench,only_voting,31117,run_0,fail,7,7,4
stabletoolbench,only_voting,31117,run_1,fail,3,3,2
stabletoolbench,only_voting,31117,run_2,fail,6,6,5
stabletoolbench,only_voting,31402,run_0,fail,7,3,0
stabletoolbench,only_voting,31402,run_1,fail,11,6,0
stabletoolbench,only_voting,31402,run_2,fail,7,3,0
stabletoolbench,only_voting,32617,run_0,success,4,0,3
stabletoolbench,only_voting,32617,run_1,fail,4,0,3
stabletoolbench,only_voting,32617,run_2,success,7,1,4
stabletoolbench,only_voting,32807,run_0,fail,4,4,3
stabletoolbench,only_voting,32807,run_1,success,5,5,3
stabletoolbench,only_voting,32807,run_2,success,11,11,2
stabletoolbench,only_voting,3308,run_0,success,5,1,4
stabletoolbench,only_voting,3308,run_1,success,7,2,6
stabletoolbench,only_voting,3308,run_2,fail,4,0,3
stabletoolbench,only_voting,33112,run_0,success,6,0,1
stabletoolbench,only_voting,33112,run_1,fail,5,0,1
stabletoolbench,only_voting,33112,run_2,fail,5,0,2
stabletoolbench,only_voting,3510,run_0,fail,12,1,2
stabletoolbench,only_voting,3510,run_1,fail,6,1,1
stabletoolbench,only_voting,3510,run_2,fail,10,1,1
stabletoolbench,only_voting,4505,run_0,success,3,0,2
stabletoolbench,only_voting,4505,run_1,fail,3,0,2
stabletoolbench,only_voting,4505,run_2,fail,4,0,3
stabletoolbench,only_voting,5116,run_0,fail,14,2,1
stabletoolbench,only_voting,5116,run_1,fail,14,2,2
stabletoolbench,only_voting,5116,run_2,fail,17,2,3
stabletoolbench,only_voting,7497,run_0,success,6,6,2
