sample_id,benchmark,topology,task_id,run,auto_source,manual_source,agreement,manual_note,eval_path,evidence_excerpt
1,browsecomp,fully_linked_debate,781,run_0,retrieval_evidence_gap,retrieval_evidence_gap,1,explicit blocked/lacking evidence state,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/fully_linked_debate/781/run_0.eval.json,"Blocked. Current search results lack actionable evidence about the match, teams, or assistants."
2,browsecomp,group_chat_debate,783,run_2,unsupported_hypothesis,unsupported_hypothesis,1,concrete answer without adequate support in final/evaluator text,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/group_chat_debate/783/run_2.eval.json,Isabella
3,browsecomp,orchestrator_no_discussion,797,run_2,unsupported_hypothesis,unsupported_hypothesis,1,concrete answer without adequate support in final/evaluator text,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/orchestrator_no_discussion/797/run_2.eval.json,FreshDirect
4,browsecomp,orchestrator_tree_structure,770,run_2,unsupported_hypothesis,unsupported_hypothesis,1,concrete answer without adequate support in final/evaluator text,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/orchestrator_tree_structure/770/run_2.eval.json,Pouneh Shabani-Jadidi
5,browsecomp,orchestrator_tree_structure,775,run_1,unsupported_hypothesis,unsupported_hypothesis,1,concrete answer without adequate support in final/evaluator text,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/orchestrator_tree_structure/775/run_1.eval.json,Indianapolis
6,browsecomp,only_voting,787,run_1,unsupported_hypothesis,unsupported_hypothesis,1,concrete answer without adequate support in final/evaluator text,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/browsecomp/only_voting/787/run_1.eval.json,Damini Ebenezer Ogulu
7,finance_agent,sas,17,run_2,data_interface_brittleness,data_interface_brittleness,1,API/rate-limit/interface limitation appears before final answer,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/sas/17/run_2.eval.json,"Blocked. Unable to retrieve the exact definitions due to API rate limiting. However, Workday (WDAY) typically reports gross retention metrics in its earnings reports and SEC filings, defined as the percentage of customers retained from one period to the next, excluding the effect"
8,finance_agent,orchestrator_tree_structure,27,run_2,financial_support_gap,financial_support_gap,1,financial claim is unverified or support/period alignment is incomplete,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/orchestrator_tree_structure/27/run_2.eval.json,$5 billion (unverified citation pending resolution)
9,finance_agent,orchestrator_no_discussion,3,run_2,financial_support_gap,financial_support_gap,1,financial claim is unverified or support/period alignment is incomplete,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/orchestrator_no_discussion/3/run_2.eval.json,"Q2 2024: $6.7 billion (low) to $7.2 billion (high), 7.2% of midpoint Q3 2024: $5.4 billion (low) to $8.2 billion (high), 41.2% of midpoint Q4 2024: $7.2 billion (low) to $7.8 billion (high), 8% of midpoint Q1 2025: $7.2 billion (low) to $7.8 billion (high), 8% of midpoint"
10,finance_agent,orchestrator_tree_structure,23,run_1,financial_support_gap,financial_support_gap,1,financial claim is unverified or support/period alignment is incomplete,artifacts/full_experiment/20260426_qwen3_32b_paper_run__qwen_qwen3_32b_nitro/finance_agent/orchestrator_tree_structure/23/run_1.eval.json,"Salesforce's most recent publicly reported debt (excluding sustainability notes) was $33.62 billion as of December 31, 2024 (Q4 2024 10-Q filing from Macrotrends.net). No Q1 2025 10-Q is available to confirm March 10, 2025 figures."
